Anatomy and Physiology,Astronomy,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Detector Building,Disease Detectives,Dynamic Planet,Experimental Design,Forensics,Fossils,Geologic Mapping,Gravity Vehicle,Machines,Ornithology,Protein Modeling,Sounds of Music,Water Quality
150.75,74.00,36.00,43.00,1200.00,20.54,51.50,93.00,51.00,144.00,87.50,70.25,60.50,130.00,21.75,145.50,15.00,56.50,35.00
288.24,152.50,111.00,141.00,3250.00,45.16,117.50,95.50,107.00,147.00,137.00,121.50,104.50,191.00,50.75,172.50,64.00,136.75,85.50
177.53,90.50,86.00,103.00,1450.00,36.51,69.00,71.50,99.00,142.00,72.50,79.75,93.50,124.00,34.25,164.50,50.00,51.00,80.00
132.23,28.00,42.00,51.00,750.00,13.63,48.00,57.00,105.00,46.00,51.00,21.50,35.00,79.00,16.00,142.00,18.00,70.00,38.00
179.04,109.50,136.00,73.00,1750.00,25.28,63.00,58.00,93.00,87.00,104.00,74.75,69.00,171.00,24.25,110.00,40.00,60.00,56.50
205.06,31.00,32.00,53.00,3650.00,20.36,42.50,42.00,48.00,37.00,36.50,91.75,27.50,93.00,7.01,123.50,25.00,36.00,74.50
166.97,30.50,20.00,50.00,1750.00,17.81,39.00,58.00,52.50,105.00,60.00,55.50,52.00,105.00,20.00,124.00,63.00,32.25,10.00
190.92,103.50,146.00,100.00,4025.00,34.71,97.00,87.00,121.00,143.00,105.00,76.75,83.00,190.00,61.75,158.50,61.00,109.50,79.50
160.61,77.50,64.00,82.00,2050.00,11.43,58.50,61.00,32.00,120.00,65.50,41.25,35.50,180.00,39.50,137.00,37.00,94.25,48.50
199.85,36.00,103.00,27.00,2500.00,10.50,27.00,37.00,78.00,132.00,70.00,54.00,47.00,91.00,31.50,150.00,47.00,56.75,61.50
143.87,55.50,78.00,64.00,350.00,13.60,31.00,46.00,57.00,127.00,72.50,108.25,38.50,128.00,29.50,106.00,51.00,64.75,63.50
203.17,56.00,22.00,101.00,1400.00,37.97,41.00,84.00,84.00,113.00,70.00,138.25,76.00,207.00,47.25,147.50,63.50,94.25,79.00
264.55,128.00,92.00,152.00,4700.00,35.65,108.50,71.01,104.50,148.00,98.00,55.50,91.50,169.00,37.25,192.50,54.50,114.50,79.50
271.18,55.50,104.00,94.00,900.00,28.50,86.00,67.50,18.00,140.00,103.00,143.50,60.00,153.00,37.25,155.00,30.00,89.25,59.50
120.47,25.00,18.00,62.00,1500.00,2.30,93.00,14.00,58.00,80.00,9.00,65.25,28.50,55.00,22.00,102.00,66.00,44.25,20.00
253.47,62.50,189.00,125.00,3600.00,38.79,39.00,67.01,115.00,115.00,112.50,24.50,92.00,140.00,56.25,199.00,51.00,62.75,90.00
199.16,68.50,71.00,81.00,1100.00,21.96,56.00,69.00,104.00,130.00,91.00,108.50,34.50,111.00,33.25,173.00,53.00,78.00,75.00
190.85,98.50,44.00,102.00,2550.00,4.50,73.50,65.02,116.00,90.00,55.50,4.00,88.00,181.00,43.25,121.50,32.00,63.25,41.00
144.07,28.00,82.00,116.00,3700.00,18.58,64.50,37.00,65.50,134.00,54.50,101.25,41.50,175.00,40.50,161.50,74.00,150.50,79.00
211.51,141.00,120.00,80.00,1550.00,36.37,122.50,95.00,118.00,110.00,100.50,75.00,71.50,53.00,34.50,91.00,31.50,73.00,35.00
165.35,56.00,67.00,152.00,2400.00,21.70,37.00,64.50,8.50,145.00,32.00,4.00,55.00,133.00,57.75,167.00,53.00,82.75,28.50
250.07,115.00,68.00,139.00,2600.00,21.40,83.50,76.50,101.00,145.00,101.50,57.00,64.00,161.00,58.25,185.00,70.00,67.75,73.50
231.05,99.50,162.00,148.00,3150.00,33.92,62.50,92.00,111.00,134.00,128.50,72.75,94.00,101.00,32.00,180.00,45.00,80.75,54.00
195.41,81.50,130.00,101.00,3150.00,13.30,69.50,69.50,96.00,146.00,95.00,123.75,73.50,180.00,57.25,145.50,51.00,50.75,65.50
245.68,60.00,163.00,76.00,3150.00,22.90,106.50,79.50,89.00,137.00,97.50,68.25,53.00,170.00,30.25,160.00,75.00,80.50,86.50
255.95,67.00,105.00,158.00,3800.00,33.51,54.50,83.00,99.00,140.00,75.00,61.25,64.00,159.00,64.00,169.00,63.00,125.25,84.50
213.02,103.25,185.00,65.00,1600.00,36.36,48.00,80.00,102.50,127.00,132.50,96.75,38.50,175.00,40.00,161.00,46.00,109.25,61.50
147.80,67.00,78.00,19.00,1250.00,17.66,102.00,72.50,70.50,99.00,60.50,114.75,56.50,72.00,19.00,81.50,38.00,72.00,76.50
139.98,49.50,62.00,168.00,4150.00,27.30,106.50,62.00,44.00,146.00,55.50,70.75,0.00,181.00,40.00,130.00,62.50,93.00,70.00
239.22,78.00,123.00,121.00,2800.00,27.43,76.00,67.02,108.00,141.00,95.50,114.50,108.00,205.00,61.00,153.00,61.00,130.75,91.00
227.73,127.00,139.00,154.00,2250.00,39.76,71.50,75.01,109.50,138.00,143.00,61.25,68.00,180.00,62.25,151.50,63.00,100.00,76.50
176.05,19.00,97.00,66.00,3300.00,19.95,62.00,83.50,71.00,141.00,118.50,70.75,51.00,201.00,38.75,164.00,47.00,80.50,79.00
284.52,87.00,99.00,65.00,2050.00,22.31,63.00,90.54,95.50,96.00,131.50,65.00,82.50,97.00,23.25,169.00,60.00,49.75,61.00
163.63,0.00,16.00,56.00,2050.00,21.16,48.00,59.00,71.00,116.00,70.00,64.25,40.50,115.00,16.00,170.50,26.00,61.25,75.50
148.26,43.00,103.00,42.00,1700.00,32.47,66.00,71.00,89.00,130.00,82.50,74.00,60.00,158.00,24.75,142.50,55.50,84.00,76.50
132.35,101.00,37.00,27.00,400.00,12.70,71.50,60.00,98.50,146.00,98.00,114.50,48.50,42.00,44.00,152.50,49.00,83.25,72.00
148.87,69.50,80.00,149.00,1950.00,9.33,80.00,68.00,64.50,130.00,87.50,98.50,62.50,134.00,37.75,169.00,52.00,83.25,78.00
130.22,34.00,68.00,135.00,4175.00,38.89,59.00,41.00,75.00,143.00,100.00,55.50,55.25,154.00,75.50,185.50,62.00,122.75,80.50
224.89,100.00,46.00,79.00,4200.00,31.89,95.00,87.50,102.00,146.00,168.00,106.25,96.50,111.00,41.50,170.00,58.00,88.00,83.00
219.14,103.50,69.00,72.00,1650.00,45.49,79.00,91.50,72.00,137.00,105.00,74.75,87.00,178.00,54.50,147.00,29.00,63.75,58.00
208.64,82.50,54.00,108.00,1650.00,24.75,41.50,73.00,88.50,142.00,77.00,98.35,67.00,116.00,25.00,152.50,57.00,73.50,65.00
224.20,59.50,76.00,80.00,850.00,14.35,99.50,82.00,46.50,126.00,96.00,52.50,49.50,191.00,43.25,105.50,62.50,88.25,71.50
203.51,72.50,127.00,112.00,3700.00,47.33,26.00,67.00,88.00,143.00,62.00,73.50,67.00,182.00,67.00,164.00,68.00,98.50,71.00
229.01,53.00,85.00,15.00,1250.00,5.00,48.50,88.50,92.00,23.00,94.00,77.50,60.50,122.00,7.00,145.50,38.00,27.75,36.50
141.85,16.00,16.00,38.00,1025.00,6.15,97.50,66.00,39.00,135.00,0.00,49.00,34.00,94.00,22.50,115.50,49.00,120.75,63.50
251.06,73.50,106.00,114.00,2300.00,27.58,58.00,65.00,94.00,139.00,94.00,115.00,68.50,204.00,54.75,136.00,51.00,89.75,44.50
