Anatomy and Physiology,Astronomy,Boomilever,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Detector Building,Disease Detective,Dynamic Planet,Experimental Design,Forensics,Fossils,Geologic Mapping,Gravity Vehicle,Machines,Ornithology,Ping Pong Parachute,Protein Modeling,Sounds of Music,Water Quality,Wright Stuff,Write It Do It,Data Science,Solar Power
129.5,138.5,2460,136,201.5,5422,83.5,124.2,64,124.5,117,157,264.5,69,8.569,94.455,133,49.42,78.90622786,105,92.6,69,62.1,70.67,82.7
124.5,134,1717,135,135.5,5060,81,122.4,61.6,115.5,115.1,140,250,68.5,15.5908,91.37666667,120,46.69,77.10866315,95.62,86,65.68,62,64.94,82.41
124,95.01,1402,130,130.5,4531,77.5,121.4,61.5,110.5,115,132.5,235,51.75,16.587,82.82333333,109.5,39.9,75.17241379,89.05,85,52.53,61.2,64.67,77.56
122.5,95,1079,123,130,4354,76.5,118.2,59.3,94.5,114,122.5,209,50.5,17.019,82.62,108,29.12,74.37230234,88.66,84,50.31,61.1,62.89,75.22
116,92.02,1062,120,123,4091,75.5,117,59.2,91.5,113,121.5,199.5,50,17.337,80.47333333,103,22.28,71.4395822,86.45,83.5,45.28,61,54.94,73.69
112.5,92.01,1048,114,118,4041,74.5,116.99,59.1,90.5,112,109.5,193.5,39.75,17.778,79.02333333,95,21.87,68.85191652,84.38,80.5,42.91,60.92,52.4,71.16
108.5,92,1015,111,116.5,4011,74,116.8,59,89,111.3,105.5,186,39.5,18.194,77.925,92,20.69,66.3168805,82.47,79.5,41.89,60.21,50.72,65.9
107,88,1003,90,110.5,3460,73.1,116.4,58.5,87.5,111.2,102.5,185.5,39,19.3021,77.785,91.5,20.66,64.52868411,81.52,78.5,35.38,60.12,43.59,62.02
102.6,87,992,78,108,3332,73,115.6,57.1,85.2,111.1,101.5,185,38.5,20.446,77.48133333,90.1,16.13,64.41634979,80.9,77,35.14,60,40.18,61.73
102.5,86.01,977,75.1,106,3150,72,115.2,57,85.1,111,98,179.5,37,20.87,74.27333333,90,15.66,60.08696846,77.55,76,29.56,59.3,32.5,60.1
102,86,974,75,101.5,3015,70.6,114.6,56.5,85,110.1,95,177,35.5,23.526,73.06166667,84.5,15.19,58.45154768,75.87,73.5,29.14,59.2,32.18,60.06
95.5,85,821,73,99,2944,70.5,113.8,56,83,110,85,174.5,34.5,25.4173,70.7,81.5,14.5,58.36267265,74.07,72,27.58,59.1,29.513,58.87
94.5,84,782,72,97,2928,69.5,111.6,55.5,79.1,109,82.5,168,32,26.191,69.81833333,77,14.07,57.92099946,72.19,71,24.53,59,29.507,58.16
91.5,79,699,68,90,2868,69,110.4,54,79,108,81.5,162,28.75,30.6579,69.81666667,75,13.72,57.67948083,72.05,70.51,17.87,58.1,28.5,52.32
89,78,685,66,86,2852,67.5,109.8,53.5,78.6,105.1,79.5,160,28.5,39.703,69.78833333,73.5,12.85,57.66023935,71.76,70.5,17.12,58,28,50.9
86.5,73,678,59,83,2710,66,109.4,53.1,78.5,105,78.5,135,28.25,55.953,69.33666667,72,12.59,56.79958008,71.72,69.25,16.32,57.7,27,34
85.5,70,664,53,81.5,2676,64.5,108.8,53,75,103,76,133.5,28,57.492,67.478,71.1,9.63,56.1877632,71.39,67,13.19,57.6,26.5,31.822
85,67,622,44,81,2673,64,108,52.5,74,102,74,133,27.5,77.7,64.533,71,9.07,56.04670961,69.93,66.5,12.45,57.5,25,31.821
82,66,441,40,79.5,2539,63.5,107.8,51.5,73.5,100,73.5,130,26.25,79.379,64.31333333,67.5,8.43,54.31802882,68.32,65.5,11.96,57.4,24.722,31.82
78.5,63,438,30,78,2075,63,106.8,50.5,71,99,72.52,127.5,25.25,100.981,64.21166667,63,8.22,53.71301296,66.67,65,10.79,57.2,23,29.55
77.5,61,400,29.1,77,1969,62.1,105.2,50.2,67.5,98.1,72.51,123.5,25,102.716,63.815,62.5,7.44,53.65169893,66.55,63,9.41,57.1,22,27.27
77,59,262,29,76.5,1914,62,105,50.1,66.5,98,72.5,122.1,24,106.901,62.46333333,61.5,7.12,51.94540274,64.57,62.5,8.94,56.9,19.5,25.1
76.1,55,214,28.1,75,1891,61.5,104.99,50,58.5,97,67,122,23,107.8,61.97,56.5,6.59,51.64727879,64.52,60.21,8.53,56.8,19,25
76,54,197,28,73.6,1854,61,103.4,49.5,55.5,96.1,65,114,22.5,126.82,60.94333333,56,6.56,50.80893049,63.28,60.2,7.54,56.1,18,18.18
73,51.02,145,27,73.5,1810,60,102.4,48,54.1,96,64.5,113.5,22.25,130.9,58.95,55.5,6.25,49.34754481,63.25,60.1,7.51,56,17.5,NS
68,51.01,113,26,66,1560,59.6,102,47,54,95,61.5,111.1,22,130.918,58.22666667,54,5.62,48.81317417,63.04,60,6.95,55.9,15.5,NS
65.5,51,104,23,63,1503,59.5,97.4,46.6,52,94.1,59,111,19,147.659,57.02,51,5.25,45.89277308,62.21,59.25,6.53,54,14.5,NS
